#=====================================================
# File created:        Sun-10-Mar-2024-at-08-45-51AM
# Size of lattice:     20x20
# Number of MC steps:  1000
# Reduced temperature: 0.650
# Run time (s):        15.346923
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00318    0.3950   -1298.6805  0.8179 
   00319    0.4375   -1273.4393  0.8065 
   00320    0.3800   -1284.5259  0.8245 
   00321    0.4125   -1295.1266  0.8253 
   00322    0.3875   -1305.3305  0.8306 
   00323    0.4300   -1303.5069  0.8322 
   00324    0.3800   -1290.8575  0.8272 
   00325    0.3800   -1281.2886  0.8255 
   00326    0.4000   -1306.6523  0.8304 
   00327    0.3850   -1311.2462  0.8311 
   00328    0.4075   -1318.0462  0.8336 
   00329    0.3875   -1317.9944  0.8272 
   00330    0.3875   -1317.8324  0.8355 
   00331    0.3725   -1314.6789  0.8430 
   00332    0.4250   -1298.6615  0.8266 
   00333    0.3875   -1294.4301  0.8209 
   00334    0.4450   -1282.0415  0.8159 
   00335    0.3975   -1319.7500  0.8306 
   00336    0.3500   -1324.2406  0.8301 
   00337    0.3875   -1312.4011  0.8110 
   00338    0.3750   -1315.2120  0.8256 
   00339    0.3550   -1302.8296  0.8233 
   00340    0.4100   -1289.1882  0.8345 
   00341    0.3675   -1313.7428  0.8381 
   00342    0.3375   -1328.4069  0.8495 
   00343    0.4075   -1305.3775  0.8315 
   00344    0.3725   -1312.0097  0.8372 
   00345    0.4075   -1309.3991  0.8393 
   00346    0.3850   -1314.0674  0.8468 
   00347    0.4275   -1300.2097  0.8389 
   00348    0.4050   -1280.8709  0.8359 
   00349    0.3725   -1295.2263  0.8431 
   00350    0.4200   -1277.8180  0.8271 
   00351    0.4275   -1266.4355  0.8245 
   00352    0.4000   -1273.7075  0.8253 
   00353    0.4025   -1286.6689  0.8276 
   00354    0.4350   -1298.3687  0.8329 
   00355    0.4125   -1301.7563  0.8266 
   00356    0.3550   -1285.1318  0.8282 
   00357    0.3975   -1250.8434  0.8186 
   00358    0.3925   -1287.1721  0.8284 
   00359    0.3800   -1277.4423  0.8312 
   00360    0.3725   -1286.8611  0.8431 
   00361    0.3900   -1303.7264  0.8516 
   00362    0.3975   -1298.2603  0.8461 
   00363    0.3900   -1304.4824  0.8408 
   00364    0.4075   -1317.3756  0.8521 
   00365    0.3725   -1310.3385  0.8454 
   00366    0.3975   -1292.3019  0.8386 
   00367    0.3700   -1277.7353  0.8344 
   00368    0.3725   -1281.9176  0.8280 
   00369    0.3825   -1279.5623  0.8354 
   00370    0.3875   -1288.3728  0.8381 
   00371    0.3725   -1305.0145  0.8455 
   00372    0.4250   -1299.6230  0.8524 
   00373    0.4325   -1312.2582  0.8613 
   00374    0.4000   -1327.9911  0.8592 
   00375    0.3975   -1296.6343  0.8410 
   00376    0.3725   -1283.4539  0.8341 
   00377    0.4100   -1284.2959  0.8300 
   00378    0.3850   -1291.2645  0.8349 
   00379    0.3850   -1326.0620  0.8467 
   00380    0.4175   -1303.3542  0.8399 
   00381    0.4075   -1292.3710  0.8290 
   00382    0.4075   -1287.9113  0.8259 
   00383    0.4175   -1289.7300  0.8233 
   00384    0.3950   -1270.9329  0.8311 
   00385    0.4400   -1265.1274  0.8253 
   00386    0.3450   -1281.6609  0.8303 
   00387    0.4175   -1263.6629  0.8383 
   00388    0.3900   -1252.2806  0.8333 
   00389    0.3800   -1275.6033  0.8355 
   00390    0.3850   -1251.2689  0.8104 
   00391    0.4400   -1259.0344  0.8109 
   00392    0.3700   -1268.2585  0.8078 
   00393    0.4125   -1263.6192  0.8098 
   00394    0.4000   -1249.8180  0.8015 
   00395    0.4075   -1249.3603  0.8153 
   00396    0.4150   -1252.9643  0.8177 
   00397    0.4450   -1252.3089  0.8019 
   00398    0.3675   -1252.1594  0.7979 
   00399    0.4425   -1244.6471  0.8041 
   00400    0.4375   -1236.9797  0.7932 
   00401    0.4050   -1264.5819  0.8063 
   00402    0.3700   -1277.7884  0.8018 
   00403    0.3925   -1261.9026  0.7933 
   00404    0.4125   -1268.2172  0.7905 
   00405    0.3875   -1255.0568  0.7949 
   00406    0.4175   -1272.9750  0.7998 
   00407    0.4225   -1252.6372  0.7989 
   00408    0.3925   -1247.6024  0.7859 
   00409    0.4250   -1255.8810  0.7884 
   00410    0.4475   -1287.4703  0.7980 
   00411    0.3725   -1282.8367  0.8127 
   00412    0.4350   -1287.9998  0.8027 
   00413    0.3725   -1269.7932  0.7992 
   00414    0.4075   -1274.0341  0.8008 
   00415    0.3700   -1288.9040  0.8128 
   00416    0.4175   -1298.2501  0.8208 
   00417    0.4525   -1303.2019  0.8287 
   00418    0.3775   -1304.9330  0.8275 
   00419    0.3825   -1299.5315  0.8247 
   00420    0.4050   -1321.5335  0.8355 
   00421    0.3925   -1317.1231  0.8315 
   00422    0.4125   -1337.8251  0.8485 
   00423    0.3850   -1312.1881  0.8450 
   00424    0.4250   -1317.1921  0.8475 
   00425    0.4000   -1291.3777  0.8342 
   00426    0.4100   -1270.8652  0.8246 
   00427    0.3425   -1235.6018  0.8113 
   00428    0.4100   -1233.2673  0.7966 
   00429    0.4300   -1253.2008  0.8096 
   00430    0.4275   -1276.6772  0.8074 
   00431    0.4150   -1264.2205  0.8094 
   00432    0.3875   -1271.9511  0.8157 
   00433    0.4150   -1270.7688  0.8247 
   00434    0.4350   -1268.7499  0.8129 
   00435    0.4075   -1282.3114  0.8066 
   00436    0.4050   -1271.8734  0.7927 
   00437    0.3750   -1262.2667  0.7946 
   00438    0.4050   -1276.4093  0.7860 
   00439    0.4050   -1309.2452  0.8072 
   00440    0.3800   -1323.7612  0.8138 
   00441    0.3450   -1327.8126  0.8241 
   00442    0.3725   -1339.7275  0.8136 
   00443    0.3900   -1334.0908  0.8135 
   00444    0.3975   -1312.2195  0.8016 
   00445    0.3925   -1303.1816  0.8077 
   00446    0.4025   -1320.0835  0.8147 
   00447    0.3475   -1301.1744  0.8026 
   00448    0.3825   -1307.2179  0.8029 
   00449    0.3800   -1310.0729  0.7964 
   00450    0.4000   -1302.6617  0.7915 
