LebwohlLasher.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.350, Time: 5.770004 s
         1463779 function calls (1448302 primitive calls) in 7.309 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2364    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
       52    0.001    0.000    0.001    0.000 numeric.py:67(zeros_like)
   440/16    0.001    0.000    1.395    0.087 {built-in method builtins.__import__}
      657    0.001    0.000    0.047    0.000 inspect.py:3024(from_callable)
      103    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
      657    0.001    0.000    0.048    0.000 inspect.py:3278(signature)
      609    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      151    0.001    0.000    0.003    0.000 fromnumeric.py:71(_wrapreduction)
      397    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
     1381    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
     1413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1030(__exit__)
   256/18    0.001    0.000    0.002    0.000 ast.py:420(generic_visit)
      511    0.001    0.000    0.001    0.000 enum.py:826(__setattr__)
        1    0.001    0.001    0.001    0.001 {method 'read' of '_io.TextIOWrapper' objects}
      495    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      438    0.001    0.000    0.005    0.000 colors.py:265(to_rgba)
      764    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:405(parent)
      433    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:216(_lock_unlock_module)
       52    0.001    0.000    0.001    0.000 twodim_base.py:158(eye)
      356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      409    0.001    0.000    0.008    0.000 rcsetup.py:307(validate_color)
       99    0.001    0.000    0.474    0.005 artist.py:126(__init_subclass__)
      317    0.001    0.000    0.004    0.000 function_base.py:497(add_newdoc)
     2560    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      459    0.001    0.000    0.001    0.000 <frozen posixpath>:60(isabs)
      293    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     1172    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
       31    0.001    0.000    0.001    0.000 function_base.py:24(linspace)
     2223    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
      850    0.001    0.000    0.003    0.000 colors.py:213(_is_nth_color)
      257    0.001    0.000    0.001    0.000 _parser.py:369(_escape)
     5170    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
        3    0.001    0.000    0.078    0.026 core.py:1(<module>)
        1    0.001    0.001    0.001    0.001 {built-in method utcfromtimestamp}
     1413    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1026(__enter__)
      596    0.001    0.000    0.002    0.000 _compiler.py:396(_simple)
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:599(_check_name_wrapper)
      631    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:392(cached)
     1995    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      354    0.001    0.000    0.001    0.000 __init__.py:82(find_spec)
      358    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:169(__enter__)
      206    0.001    0.000    0.024    0.000 _compiler.py:571(_code)
     1281    0.001    0.000    0.001    0.000 __init__.py:658(_set)
      409    0.001    0.000    0.006    0.000 core.py:499(copy)
      356    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
  385/312    0.001    0.000    0.020    0.000 typing.py:352(inner)
      293    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:675(_validate_timestamp_pyc)
     2560    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
       29    0.001    0.000    0.001    0.000 pathlib.py:353(_select_from)
      392    0.001    0.000    0.003    0.000 __init__.py:178(sub)
      719    0.001    0.000    0.001    0.000 {built-in method _thread.allocate_lock}
     2454    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
      351    0.001    0.000    0.100    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     1107    0.001    0.000    0.001    0.000 _parser.py:109(__init__)
      542    0.001    0.000    0.001    0.000 enum.py:745(__delattr__)
      712    0.001    0.000    0.001    0.000 functools.py:65(wraps)
      541    0.001    0.000    0.001    0.000 enum.py:79(_is_private)
       63    0.001    0.000    0.002    0.000 inspect.py:3232(__str__)
      778    0.001    0.000    0.001    0.000 __init__.py:678(_get)
      206    0.001    0.000    0.001    0.000 _parser.py:224(__init__)
       38    0.001    0.000    0.019    0.000 <frozen importlib._bootstrap_external>:1655(_fill_cache)
       50    0.001    0.000    0.017    0.000 deprecation.py:457(<listcomp>)
 1607/174    0.001    0.000    0.003    0.000 <frozen abc>:121(__subclasscheck__)
      775    0.001    0.000    0.001    0.000 inspect.py:755(_is_wrapper)
        1    0.001    0.001    0.001    0.001 entities.py:1(<module>)
      465    0.001    0.000    0.001    0.000 __init__.py:729(__getitem__)
       91    0.001    0.000    0.008    0.000 typing.py:658(Union)
       18    0.001    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
